,Organization_Name,Product_Code,Name_Product,Part_Number,Approval_Code,Approval_Date,ORG_NABREV_FAB_PROD
84,AERO SEATING TECHNOLOGIES,4532,SINGLE RH SIDE FACING DIVAN,70711-12-(XXX)-(YY),,,AERO SEATING
85,AERO SEATING TECHNOLOGIES,4533,SINGLE FWD / AFT FACING SEAT,70701-11-(XXX)-(YY),,,AERO SEATING
86,AERO SEATING TECHNOLOGIES,4534,SINGLE FWD / AFT FACING SEAT,70701-12-(XXX)-(YY),,,AERO SEATING
87,AERO SEATING TECHNOLOGIES,4535,DOUBLE FWD / AFT FACING SEAT,70702-11-(XXX)-(YY),,,AERO SEATING
88,AERO SEATING TECHNOLOGIES,4536,DOUBLE FWD / AFT FACING SEAT,70702-12-(XXX)-(YY),,,AERO SEATING
89,"AEROANTENNA TECHNOLOGY, INC.",4094,GPS Antenna,AT575-93GW-TNCF-000-RG-27-NM,,,AEROANTENNA
90,"AEROANTENNA TECHNOLOGY, INC.",4095,GPS Antenna,AT575-126GW-TNCF-000-RG-27-NM,,,AEROANTENNA
91,"AEROANTENNA TECHNOLOGY, INC.",4096,GPS/XM Antenna,AT2300-126GW-TNCF-000-RG-27-NM,,,AEROANTENNA
92,"AEROANTENNA TECHNOLOGY, INC.",4097,GPS Antenna,AT575-332G,,,AEROANTENNA
93,"AERONETICS DIVISION, AAR CORP.",2042,Radio Magnetic Indicator,3137-LB-2-1-C,,,AERONETICS
94,AEROSONIC LLC,4698,Pitot Static Probe,101469-X-( ),,,AEROSONIC LLC
95,"AICRAFT BELTS, INC.",2092,Seat Belt,AB-52-01,,,AIRCRAFT BELTS
96,AIR CRUISERS,1720,Life Preserver,D21343-( ),,,AIR CRUISERS
97,AIR CRUISERS,1721,Life Preserver,63600-( ),,,AIR CRUISERS
98,AIR CRUISERS,1722,Life Preserver,D21344-( ),,,AIR CRUISERS
99,AIR CRUISERS,2739,Life Preserver,66601-( ),,,AIR CRUISERS
100,AIR CRUISERS,2740,36 Person Liferaft,66536-( ),,,AIR CRUISERS
101,AIR CRUISERS,4178,10 Person Liferaft,64910-(  ),,,AIR CRUISERS
102,AIR LIQUIDE,1754,Protective Breathing Equipment,15-40F,,,AIR LIQUIDE
103,AIRCRAFT BRAKING SYSTEMS CORPORATION,1405,Wheel and Brake Assembly,90000582/90000583,,,AIRCRAFT BRAKING
104,AIRCRAFT BRAKING SYSTEMS CORPORATION,1406,Nose Wheel Assembly,90000581,,,AIRCRAFT BRAKING
105,AIRCRAFT BRAKING SYSTEMS CORPORATION,1407,Wheel and Brake Assembly,90000582/90000583-1,,,AIRCRAFT BRAKING
106,AIRCRAFT BRAKING SYSTEMS CORPORATION,1408,Nose Wheel Assembly,90000581-1,,,AIRCRAFT BRAKING
107,AIRCRAFT BRAKING SYSTEMS CORPORATION,2108,Nose Wheel,9544207,,,AIRCRAFT BRAKING
108,AIRCRAFT BRAKING SYSTEMS CORPORATION,2109,Main Landing Gear Wheel,5009029,,,AIRCRAFT BRAKING
109,AIRCRAFT BRAKING SYSTEMS CORPORATION,2110,Carbon Brake Assembly,5009027,,,AIRCRAFT BRAKING
110,AIRCRAFT BRAKING SYSTEMS CORPORATION,2111,Main Landing Gear Wheel,5007045-2,,,AIRCRAFT BRAKING
111,AIRCRAFT BRAKING SYSTEMS CORPORATION,2112,Carbon Brake Assembly,5006191-5,,,AIRCRAFT BRAKING
112,AIRCRAFT BRAKING SYSTEMS CORPORATION,2113,Main Landing Gear Wheel,5009029-1,,,AIRCRAFT BRAKING
113,AIRCRAFT BRAKING SYSTEMS CORPORATION,2114,Nose Wheel,5006450-2,,,AIRCRAFT BRAKING
114,AIRCRAFT BRAKING SYSTEMS CORPORATION,2623,Wheel,90002317,,,AIRCRAFT BRAKING
115,AIRCRAFT BRAKING SYSTEMS CORPORATION,2624,Brake Assembly,90002340,,,AIRCRAFT BRAKING
116,AIRCRAFT MODULAR PRODUCTS,2094,Single Swivel Seat,2524-014( ),,,AIRCRAFT MODULAR
117,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1801,Weather Radar System,RDS 81,,,ALLIEDSIGNAL OLATHE
118,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1802,HF System,KHF-950,,,ALLIEDSIGNAL OLATHE
119,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1803,Integrated Radio Package Rack and Frontal Panel,050-03011-0000/050-03104-0000,,,ALLIEDSIGNAL OLATHE
120,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1804,Marker Receiver,066-1021-02,,,ALLIEDSIGNAL OLATHE
121,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1805,VOR Composite Converter,066-01130-0701,,,ALLIEDSIGNAL OLATHE
122,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1806,Compass System,KCS 55A,,,ALLIEDSIGNAL OLATHE
123,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1807,Slaving Accessory,071-1242-07,,,ALLIEDSIGNAL OLATHE
124,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1808,Directional Gyro,060-0015-00,,,ALLIEDSIGNAL OLATHE
125,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1809,HSI,066-3046-11,,,ALLIEDSIGNAL OLATHE
126,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1810,Flux Valve,071-1052-00,,,ALLIEDSIGNAL OLATHE
127,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1811,DME,066-1070-01,,,ALLIEDSIGNAL OLATHE
128,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1812,DME Indicator,066-1069-14,,,ALLIEDSIGNAL OLATHE
129,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1814,Radar Indicator,066-3114-01,,,ALLIEDSIGNAL OLATHE
130,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1815,Radar Sensor,071-1378-00,,,ALLIEDSIGNAL OLATHE
131,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1816,Flat Plate Antenna,071-1317-00,,,ALLIEDSIGNAL OLATHE
132,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1817,Weather Radar,RDS 82VP,,,ALLIEDSIGNAL OLATHE
133,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1818,EFS/VP Radar Rcvr/Xcvr,071-1315-30,,,ALLIEDSIGNAL OLATHE
134,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1819,Radar Indicator,066-3084-33,,,ALLIEDSIGNAL OLATHE
135,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1820,ADF,066-1072-07,,,ALLIEDSIGNAL OLATHE
136,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1821,CDI Indicator,066-3034-22,,,ALLIEDSIGNAL OLATHE
137,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1822,Radar Altimeter,066-1048-02,,,ALLIEDSIGNAL OLATHE
138,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1823,Radar Altimeter,066-3031-00,,,ALLIEDSIGNAL OLATHE
139,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1824,RMI Indicator,066-3060-03,,,ALLIEDSIGNAL OLATHE
140,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1825,GPS Receiver,066-04031-0X11,,,ALLIEDSIGNAL OLATHE
141,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1826,GPS Antenna,071-01545-0200,,,ALLIEDSIGNAL OLATHE
142,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1827,VHF Tranceiver,064-1023-00,,,ALLIEDSIGNAL OLATHE
143,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1828,Control Head,071-1215-70,,,ALLIEDSIGNAL OLATHE
144,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1829,Nav Receiver,066-1078-00,,,ALLIEDSIGNAL OLATHE
145,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1830,Control Head,071-1216-0027,,,ALLIEDSIGNAL OLATHE
146,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1831,Digital ADF,066-1077-00,,,ALLIEDSIGNAL OLATHE
147,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1832,Control Head,071-1210-09,,,ALLIEDSIGNAL OLATHE
148,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1833,Radar Altimeter,066-1048-02,,,ALLIEDSIGNAL OLATHE
149,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1834,RMI,066-3060-0001,,,ALLIEDSIGNAL OLATHE
150,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1835,DME,066-1066-24,,,ALLIEDSIGNAL OLATHE
151,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1836,DME Indicator,066-1069-01,,,ALLIEDSIGNAL OLATHE
152,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1837,Audio Control Panel,066-1055-71,,,ALLIEDSIGNAL OLATHE
153,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1838,Transponder Mode S,066-01143-0201,,,ALLIEDSIGNAL OLATHE
154,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1839,Control Head,071-01507-1301,,,ALLIEDSIGNAL OLATHE
155,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1841,EFIS/VP Indicator,066-3084-32,,,ALLIEDSIGNAL OLATHE
156,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1842,Slaving Controller,071-1242-01,,,ALLIEDSIGNAL OLATHE
157,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1843,Directional Gyro,060-0013-01,,,ALLIEDSIGNAL OLATHE
158,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1845,Electronic HSI,066-03123-1500,,,ALLIEDSIGNAL OLATHE
159,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1846,Electronic ADI or HSI,066-03125-2500,,,ALLIEDSIGNAL OLATHE
160,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1847,Symbol Generator,066-04021-1109,,,ALLIEDSIGNAL OLATHE
161,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1848,GPS Receiver/Comm Tranceiver,069-01029-0201,,,ALLIEDSIGNAL OLATHE
162,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1850,ATC Transponder,066-1062-00,,,ALLIEDSIGNAL OLATHE
163,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1851,ATC Transponder,066-1062-01,,,ALLIEDSIGNAL OLATHE
164,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1852,ATC Transponder,066-1062-02,,,ALLIEDSIGNAL OLATHE
165,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1853,ATC Transponder,066-1062-10,,,ALLIEDSIGNAL OLATHE
166,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1854,COMM Trans/NAV Receiver,069-01028-0101,,,ALLIEDSIGNAL OLATHE
167,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1855,COMM Trans/NAV Receiver,069-01028-0302,,,ALLIEDSIGNAL OLATHE
168,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1856,COMM Trans/NAV Receiver,069-01028-1101,,,ALLIEDSIGNAL OLATHE
169,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1857,COMM Trans/NAV Receiver,069-01028-1302,,,ALLIEDSIGNAL OLATHE
170,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1858,VHF/NAV/GS/COMM,069-1024-30,,,ALLIEDSIGNAL OLATHE
171,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1859,VHF/NAV/GS/COMM,069-1024-31,,,ALLIEDSIGNAL OLATHE
172,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1860,VHF/NAV/GS/COMM,069-1024-32,,,ALLIEDSIGNAL OLATHE
173,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1861,VHF/NAV/GS/COMM,069-1024-33,,,ALLIEDSIGNAL OLATHE
174,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1862,VHF/NAV/GS/COMM,069-1024-34,,,ALLIEDSIGNAL OLATHE
175,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1863,VHF/NAV/GS/COMM,069-1024-35,,,ALLIEDSIGNAL OLATHE
176,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1864,VHF/NAV/GS/COMM,069-1024-36,,,ALLIEDSIGNAL OLATHE
177,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1865,VHF/NAV/GS/COMM,069-1024-37,,,ALLIEDSIGNAL OLATHE
178,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1866,VHF/NAV/GS/COMM,069-1024-38,,,ALLIEDSIGNAL OLATHE
179,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1867,VHF/NAV/GS/COMM,069-1024-39,,,ALLIEDSIGNAL OLATHE
180,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1868,VHF/NAV/GS/COMM,069-1024-40,,,ALLIEDSIGNAL OLATHE
181,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1869,VHF/NAV/GS/COMM,069-1024-41,,,ALLIEDSIGNAL OLATHE
182,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1870,VHF/NAV/GS/COMM,069-1024-42,,,ALLIEDSIGNAL OLATHE
183,ALLIEDSIGNAL AEROSPACE COMPANY - OLATHE,1871,VHF/NAV/GS/COMM,069-1024-43,,,ALLIEDSIGNAL OLATHE
